Height,Age,Income,RomanticGestureScore,CompatibilityScore,CommunicationScore,DistanceKM,Response,AgeCategory
163,76,29631,2,6,0,7,1,Senior
149,57,15190,4,7,0,21,0,Middle-aged
162,56,44963,3,10,5,34,1,Middle-aged
179,22,49729,1,9,6,32,0,Young
159,67,19808,2,0,8,82,1,Senior
197,25,36929,5,9,3,63,1,Young
171,47,34356,9,2,0,93,0,Middle-aged
195,75,48252,5,3,9,10,1,Senior
169,42,37395,1,2,0,44,0,Middle-aged
188,56,21140,10,3,0,22,1,Middle-aged
186,57,25460,1,3,5,6,1,Middle-aged
143,23,6672,7,3,7,67,1,Young
188,60,15685,4,6,3,55,1,Senior
178,46,16864,7,7,2,1,1,Middle-aged
141,57,19080,7,4,4,46,1,Middle-aged
154,75,38399,10,4,5,41,1,Senior
192,26,42341,5,5,4,42,1,Young
199,79,43677,9,7,1,45,1,Senior
142,18,28535,1,2,7,58,1,Young
160,76,45008,2,2,7,62,1,Senior
164,26,32658,8,6,10,24,1,Young
186,76,30119,2,9,5,42,1,Senior
198,64,11891,6,9,8,93,1,Senior
188,57,10965,2,2,7,83,0,Middle-aged
168,39,12604,6,10,6,48,1,Middle-aged
193,59,9499,3,6,1,49,0,Middle-aged
164,22,13503,9,10,8,76,1,Young
166,41,5299,1,6,2,22,0,Middle-aged
168,41,6604,0,8,0,10,1,Middle-aged
194,41,24273,0,2,3,31,0,Middle-aged
147,75,9210,0,7,9,32,1,Senior
161,48,35661,5,2,5,52,1,Middle-aged
200,50,15032,6,0,0,82,1,Middle-aged
172,36,49174,10,4,5,91,1,Middle-aged
152,29,33573,9,4,3,13,1,Young
180,27,44018,4,5,0,11,0,Young
198,35,11346,4,9,0,20,1,Young
159,67,10771,7,5,3,63,1,Senior
187,32,7139,7,8,5,51,1,Young
188,87,18346,1,6,4,29,1,Senior
181,77,16477,3,9,10,26,1,Senior
142,72,15261,5,10,5,86,1,Senior
184,34,11704,2,8,4,69,1,Young
200,69,24982,6,3,7,39,0,Senior
141,87,14189,8,3,10,85,1,Senior
198,27,15267,9,3,1,92,1,Young
150,32,13996,3,5,6,13,0,Young
148,66,18876,4,3,2,97,0,Senior
153,68,38667,1,9,5,12,1,Senior
153,78,40901,10,4,2,68,1,Senior
169,34,17783,0,8,9,91,1,Young
171,18,22803,6,2,1,29,1,Young
185,27,48116,5,0,8,9,0,Young
166,31,42695,5,6,9,38,1,Young
143,90,12988,3,10,1,41,1,Senior
156,24,43982,3,9,3,78,1,Young
152,23,19601,5,3,9,97,1,Young
160,76,46471,4,2,4,33,1,Senior
143,36,40887,6,7,5,83,1,Middle-aged
170,51,41924,10,5,5,10,1,Middle-aged
171,83,35293,7,0,5,14,0,Senior
143,35,45006,1,4,2,38,0,Young
166,34,39196,8,10,8,74,1,Young
166,75,46974,0,8,0,4,1,Senior
141,67,49839,7,3,10,81,1,Senior
198,71,33263,9,6,9,94,1,Senior
167,25,37753,9,4,1,41,1,Young
176,45,24072,7,0,9,92,1,Middle-aged
161,52,22118,9,8,1,43,1,Middle-aged
168,64,22281,3,6,3,15,1,Senior
145,60,40540,3,9,8,45,1,Senior
146,49,49895,0,5,0,5,0,Middle-aged
141,89,19712,8,7,2,43,1,Senior
194,34,5038,7,8,4,36,1,Young
189,85,7502,8,6,3,99,1,Senior
155,23,31725,1,0,6,53,0,Young
148,81,29379,10,6,6,48,1,Senior
189,25,27113,10,9,5,15,1,Young
165,89,26981,0,4,10,9,0,Senior
196,48,47981,4,2,5,17,0,Middle-aged
144,77,25701,8,7,4,58,1,Senior
148,26,19197,2,7,10,54,1,Young
157,77,16125,3,0,9,36,0,Senior
143,68,29595,7,9,3,75,1,Senior
192,77,36626,4,9,9,6,1,Senior
200,54,33929,6,7,8,65,1,Middle-aged
198,71,27240,1,3,8,93,0,Senior
167,62,15022,2,6,1,79,1,Senior
195,65,36815,3,0,7,85,0,Senior
179,47,14045,9,5,4,85,1,Middle-aged
175,36,30778,2,7,9,81,1,Middle-aged
199,28,42949,8,8,4,45,1,Young
140,29,33361,1,7,10,23,1,Young
172,22,27692,6,8,9,15,1,Young
157,25,34490,10,1,2,25,1,Young
150,24,12348,3,10,5,50,1,Young
141,35,17143,5,4,0,39,1,Young
148,81,18385,6,5,7,36,0,Senior
173,75,14028,1,4,3,24,1,Senior
151,50,44616,8,6,4,76,1,Middle-aged
152,68,27909,9,3,7,7,1,Senior
165,57,48529,3,0,4,93,0,Middle-aged
176,39,25527,10,7,1,69,1,Middle-aged
184,56,39906,8,5,2,51,1,Middle-aged
140,77,27863,5,10,0,23,1,Senior
180,73,21628,5,5,5,45,0,Senior
176,32,5437,6,10,2,22,1,Young
144,85,13130,3,7,5,42,1,Senior
158,46,14725,0,8,3,32,1,Middle-aged
147,66,8134,4,2,9,63,1,Senior
156,86,33545,0,3,10,71,0,Senior
162,51,9612,4,9,8,64,1,Middle-aged
152,53,12919,3,10,3,93,1,Middle-aged
147,65,49475,10,4,6,61,1,Senior
189,80,16222,7,10,4,53,1,Senior
182,56,40351,1,4,5,43,1,Middle-aged
149,71,34397,4,2,7,65,0,Senior
169,54,24049,9,1,7,40,1,Middle-aged
162,37,11714,0,5,7,46,1,Middle-aged
150,50,28481,1,2,2,69,1,Middle-aged
189,19,29601,7,0,8,80,1,Young
181,25,30578,8,10,8,75,1,Young
154,70,35008,0,5,2,69,1,Senior
177,28,12378,7,1,8,25,1,Young
173,70,46901,8,6,8,14,1,Senior
166,61,46655,4,2,5,66,1,Senior
168,23,25795,10,3,9,71,1,Young
170,88,22001,5,2,8,61,0,Senior
140,30,23917,8,5,9,5,1,Young
163,63,12154,6,4,9,8,1,Senior
194,68,41857,10,3,3,22,1,Senior
172,43,46994,2,9,4,9,1,Middle-aged
154,43,7436,9,10,3,91,1,Middle-aged
156,65,45880,1,6,1,14,0,Senior
154,31,38321,7,9,3,3,1,Young
181,74,43489,3,6,8,82,1,Senior
165,44,48885,6,2,4,60,0,Middle-aged
177,72,49991,5,1,3,22,0,Senior
186,41,14809,4,4,8,86,1,Middle-aged
184,64,46672,1,8,3,85,0,Senior
183,87,12399,5,1,3,19,1,Senior
171,27,16525,7,4,6,74,0,Young
154,45,35164,1,6,9,93,1,Middle-aged
140,18,13097,6,3,6,66,1,Young
186,74,9661,8,3,8,28,1,Senior
167,89,12953,9,5,2,67,1,Senior
144,56,11541,5,3,7,91,1,Middle-aged
170,37,48335,6,4,8,20,1,Middle-aged
179,39,28312,9,6,9,92,1,Middle-aged
186,89,12502,6,1,8,72,1,Senior
186,52,20869,7,0,3,91,0,Middle-aged
149,32,33883,5,6,4,2,1,Young
156,23,22251,6,5,8,53,1,Young
185,84,19999,5,10,7,33,1,Senior
172,19,16494,4,3,10,4,1,Young
146,76,41127,0,2,0,78,0,Senior
188,21,39635,2,2,4,61,1,Young
155,21,41762,2,10,3,7,1,Young
147,66,48356,4,5,4,66,1,Senior
149,53,37236,2,4,9,29,1,Middle-aged
148,77,47083,5,7,5,5,1,Senior
169,55,38624,9,8,7,40,1,Middle-aged
160,54,12516,6,4,3,84,1,Middle-aged
195,43,22937,6,10,10,67,1,Middle-aged
182,68,25522,0,5,6,14,1,Senior
183,25,31728,9,7,3,51,1,Young
191,26,8778,7,8,1,46,1,Young
194,23,46144,3,5,8,91,1,Young
186,45,40016,3,9,5,25,1,Middle-aged
197,87,22990,5,10,7,97,1,Senior
175,43,5523,5,6,5,70,1,Middle-aged
183,39,36512,9,0,4,3,0,Middle-aged
199,51,13686,1,3,5,67,1,Middle-aged
198,32,16117,0,2,4,17,0,Young
166,46,48553,5,5,1,9,0,Middle-aged
140,88,45041,4,6,7,51,1,Senior
155,85,23802,7,0,3,66,0,Senior
152,55,7979,3,2,3,13,0,Middle-aged
149,88,46429,2,4,5,3,0,Senior
185,22,40008,3,3,3,16,0,Young
161,61,49635,1,8,10,23,1,Senior
194,24,33890,8,5,1,91,1,Young
173,78,27702,0,3,5,83,0,Senior
185,28,37902,8,8,8,60,1,Young
167,42,32961,9,5,10,95,1,Middle-aged
165,55,33083,1,0,1,12,0,Middle-aged
179,87,29110,5,5,9,25,1,Senior
181,26,33227,7,0,8,5,1,Young
140,46,22145,7,0,10,26,0,Middle-aged
141,82,18871,8,3,5,7,1,Senior
160,19,5671,5,3,5,73,0,Young
149,32,46990,5,4,0,58,1,Young
160,86,34335,7,9,0,32,1,Senior
175,84,11268,3,4,9,57,1,Senior
168,65,25779,10,6,9,11,1,Senior
146,82,9634,1,8,0,10,1,Senior
180,59,11521,8,8,4,60,1,Middle-aged
195,49,17869,7,1,7,77,1,Middle-aged
165,70,19212,7,8,0,88,1,Senior
178,33,34028,4,1,0,52,0,Young
154,77,33566,8,2,6,78,0,Senior
184,40,11727,6,4,10,20,1,Middle-aged
154,46,10560,4,8,6,78,1,Middle-aged
179,65,32273,8,4,10,11,1,Senior
143,20,34304,2,1,10,58,1,Young
197,36,33650,4,10,5,80,1,Middle-aged
155,28,49584,0,1,9,44,0,Young
178,47,38949,7,8,2,67,1,Middle-aged
192,31,29195,10,0,7,32,1,Young
141,77,15441,9,10,4,57,1,Senior
141,30,25261,0,4,8,82,1,Young
173,87,32716,3,3,8,6,1,Senior
199,48,41151,7,9,5,74,1,Middle-aged
195,42,26570,2,10,6,83,1,Middle-aged
150,68,6576,8,0,1,76,0,Senior
191,75,5921,4,1,2,8,1,Senior
158,77,30238,9,3,9,34,1,Senior
151,42,33148,9,9,0,64,1,Middle-aged
199,54,35246,0,1,8,18,1,Middle-aged
172,77,11009,4,6,4,21,1,Senior
165,36,37185,4,3,5,60,0,Middle-aged
145,41,49021,0,5,0,73,1,Middle-aged
172,20,9153,5,4,9,6,1,Young
142,30,34791,4,3,1,89,0,Young
171,31,30227,1,0,3,45,0,Young
158,40,13832,5,1,5,26,0,Middle-aged
143,56,9100,1,2,8,55,1,Middle-aged
154,66,36814,5,0,2,35,1,Senior
198,26,38549,1,10,7,71,1,Young
165,80,43794,2,8,1,8,1,Senior
142,49,23680,0,1,9,74,0,Middle-aged
164,30,37356,8,3,1,3,1,Young
195,37,49349,0,10,2,89,1,Middle-aged
157,77,25487,10,3,5,37,1,Senior
160,20,16187,0,5,6,42,1,Young
148,64,28289,6,7,8,84,1,Senior
148,55,42393,10,0,7,7,1,Middle-aged
174,45,16954,9,6,9,85,1,Middle-aged
165,67,37444,5,2,10,40,1,Senior
157,41,17718,0,5,5,5,0,Middle-aged
191,79,11526,5,0,10,79,0,Senior
190,85,5878,1,0,10,59,1,Senior
177,35,44483,5,2,4,87,1,Young
141,40,23338,0,10,2,34,0,Middle-aged
166,42,32113,7,7,10,49,1,Middle-aged
198,86,29266,7,3,7,22,1,Senior
184,68,12828,0,0,0,27,0,Senior
192,67,15632,1,4,10,75,0,Senior
171,66,43092,7,9,6,81,1,Senior
159,24,35169,5,3,10,87,0,Young
178,59,32175,10,5,2,15,1,Middle-aged
154,25,16760,5,3,5,54,1,Young
159,58,23193,8,1,6,100,1,Middle-aged
186,47,8205,6,10,6,37,1,Middle-aged
190,77,22485,9,6,4,86,1,Senior
180,43,23520,7,0,6,81,1,Middle-aged
191,58,45034,8,5,5,96,1,Middle-aged
154,76,16248,2,10,7,26,1,Senior
141,32,32149,5,3,2,49,1,Young
159,25,14382,9,8,8,6,1,Young
168,26,39949,5,5,2,67,1,Young
196,25,46615,6,8,3,88,1,Young
166,90,14532,5,4,9,93,1,Senior
177,45,33409,10,9,1,59,1,Middle-aged
152,90,10955,10,6,10,80,1,Senior
175,21,27702,4,2,0,95,1,Young
147,20,44225,7,10,9,53,1,Young
194,78,22424,7,10,6,2,1,Senior
142,63,11998,9,2,6,17,1,Senior
145,80,25227,10,7,9,34,1,Senior
144,64,41852,8,5,3,23,1,Senior
153,64,23086,9,2,1,71,1,Senior
196,27,26498,10,5,9,35,1,Young
148,83,5237,6,7,2,94,1,Senior
193,85,47177,9,9,5,24,1,Senior
187,77,35402,7,6,8,65,1,Senior
182,80,47850,0,9,0,60,1,Senior
164,45,7942,8,3,7,85,1,Middle-aged
156,77,46600,3,0,9,81,0,Senior
191,31,31993,8,3,4,84,1,Young
168,78,44914,5,5,7,26,1,Senior
177,33,32920,5,1,10,38,0,Young
194,72,12416,9,6,0,19,1,Senior
145,82,34273,1,3,2,77,0,Senior
167,18,7115,9,6,5,98,1,Young
193,80,39798,10,6,3,17,1,Senior
199,56,39640,10,0,7,100,1,Middle-aged
156,78,30403,5,3,4,28,1,Senior
196,79,44807,2,5,5,4,1,Senior
169,29,12651,6,6,1,30,1,Young
170,57,12560,5,0,6,100,1,Middle-aged
178,70,29953,10,9,5,54,1,Senior
168,76,20761,2,0,9,6,0,Senior
142,26,20343,5,4,9,27,1,Young
140,85,35095,7,10,5,86,1,Senior
195,27,46497,1,5,7,3,1,Young
166,20,5946,10,10,2,25,1,Young
153,44,37725,7,10,5,82,1,Middle-aged
199,49,26032,9,6,6,7,1,Middle-aged
140,90,40959,6,9,4,62,1,Senior
183,84,9022,5,0,2,59,1,Senior
149,23,45434,1,6,8,63,1,Young
156,68,44318,7,8,0,70,1,Senior
188,76,41502,1,10,9,87,1,Senior
195,63,26571,7,6,8,20,1,Senior
171,76,21889,9,10,7,24,1,Senior
182,56,25257,7,9,2,54,1,Middle-aged
199,72,43090,9,3,10,56,1,Senior
172,48,13480,10,1,5,18,1,Middle-aged
169,52,31479,3,4,5,7,1,Middle-aged
189,41,15926,8,2,1,20,0,Middle-aged
199,63,23597,5,8,0,84,1,Senior
191,25,11722,5,1,8,97,1,Young
173,60,38957,1,1,5,6,0,Senior
141,78,31172,6,8,3,94,1,Senior
166,70,48739,1,10,2,60,1,Senior
181,85,12370,1,4,9,15,1,Senior
157,75,34315,3,6,10,19,1,Senior
147,33,43871,6,6,0,70,1,Young
152,75,14850,1,5,0,8,1,Senior
155,43,23811,6,9,6,96,1,Middle-aged
183,47,10999,7,10,6,73,1,Middle-aged
177,60,34322,9,4,3,92,1,Senior
170,52,24492,0,7,8,28,0,Middle-aged
141,23,22866,4,7,3,59,1,Young
192,26,25552,5,4,5,58,0,Young
162,73,23363,2,3,4,19,1,Senior
145,51,9672,4,4,9,65,1,Middle-aged
162,60,7329,8,3,3,14,1,Senior
160,26,18660,9,4,10,15,1,Young
155,49,44699,7,7,3,99,1,Middle-aged
141,63,12262,0,1,10,51,1,Senior
169,32,13143,6,3,2,7,1,Young
158,55,25752,0,8,8,3,1,Middle-aged
195,21,31066,8,1,1,74,0,Young
199,53,22232,4,2,1,31,1,Middle-aged
168,34,12296,2,5,3,13,1,Young
178,65,18295,10,2,8,66,1,Senior
199,90,46097,5,2,4,95,0,Senior
200,48,18673,7,1,3,83,1,Middle-aged
178,30,6152,4,10,2,58,1,Young
153,27,23498,8,7,3,4,1,Young
175,75,29616,10,9,4,42,1,Senior
177,35,38965,5,5,0,53,1,Young
147,61,30943,3,6,1,49,1,Senior
163,51,11609,5,4,7,41,1,Middle-aged
149,64,24296,1,2,9,40,1,Senior
145,88,47350,3,0,1,99,0,Senior
152,86,25164,2,4,9,70,1,Senior
167,39,28221,5,3,7,15,1,Middle-aged
194,46,5338,1,5,2,87,0,Middle-aged
181,44,44082,3,10,10,24,0,Middle-aged
147,52,32129,3,8,9,75,1,Middle-aged
188,72,44613,5,3,5,14,1,Senior
198,31,41001,9,8,3,24,1,Young
193,90,28160,0,4,9,32,1,Senior
196,49,9713,10,6,1,5,1,Middle-aged
182,75,39232,2,1,1,31,0,Senior
175,31,21125,5,8,3,90,1,Young
144,69,10473,2,4,3,9,1,Senior
198,21,31846,3,7,4,83,1,Young
198,68,15561,5,8,1,50,1,Senior
169,41,49426,6,2,4,87,1,Middle-aged
163,53,32686,6,8,3,29,1,Middle-aged
142,88,28389,0,0,0,93,0,Senior
185,63,30452,8,4,2,78,1,Senior
198,82,10831,4,7,7,76,1,Senior
182,56,7862,5,4,1,38,1,Middle-aged
143,74,40629,6,7,10,31,1,Senior
141,66,6327,6,8,5,88,1,Senior
185,46,18344,8,3,5,70,1,Middle-aged
185,80,10508,0,4,6,37,0,Senior
161,65,35884,1,10,9,46,1,Senior
174,55,32036,10,5,9,63,1,Middle-aged
198,79,29608,2,0,7,49,0,Senior
160,22,12721,4,4,10,81,1,Young
178,58,24698,7,9,8,21,1,Middle-aged
181,50,22076,8,6,3,3,1,Middle-aged
142,42,45118,7,4,6,37,1,Middle-aged
188,62,46581,9,1,10,28,1,Senior
174,62,24206,5,2,9,79,0,Senior
188,38,37456,10,2,0,76,1,Middle-aged
172,87,6888,2,6,7,25,1,Senior
174,56,28056,6,9,0,95,1,Middle-aged
151,36,5293,5,1,2,1,0,Middle-aged
147,78,10066,2,8,0,49,1,Senior
181,84,7045,6,1,5,99,1,Senior
193,69,14772,0,5,0,83,0,Senior
173,69,17969,6,10,6,25,1,Senior
167,78,42323,10,3,9,24,1,Senior
155,32,9099,4,4,0,94,0,Young
164,25,17559,3,5,4,70,1,Young
164,43,46316,4,6,0,79,0,Middle-aged
181,81,32687,6,3,10,68,0,Senior
146,51,34326,10,6,9,94,1,Middle-aged
154,66,20333,7,3,6,87,1,Senior
189,56,13525,7,0,1,8,0,Middle-aged
187,46,33152,1,10,9,45,1,Middle-aged
154,67,38957,4,6,0,26,0,Senior
156,81,37995,4,0,8,2,1,Senior
183,63,38808,4,4,7,90,0,Senior
195,43,39232,8,2,3,58,1,Middle-aged
150,69,13415,8,8,5,6,1,Senior
149,86,34050,3,5,1,64,1,Senior
180,46,47746,9,8,6,85,1,Middle-aged
173,28,40836,2,3,9,4,0,Young
175,39,37998,9,10,8,90,1,Middle-aged
161,66,30213,4,9,0,31,1,Senior
174,64,5356,5,5,6,42,1,Senior
190,71,11180,3,3,7,32,1,Senior
160,89,46187,6,2,7,78,1,Senior
141,23,37519,4,5,7,34,1,Young
192,58,30133,1,5,4,85,1,Middle-aged
182,49,26603,0,5,1,62,1,Middle-aged
184,22,18219,9,1,7,32,1,Young
142,39,34493,4,4,7,70,1,Middle-aged
160,41,17367,3,1,7,33,0,Middle-aged
158,21,40467,2,8,8,94,1,Young
144,40,25843,0,1,4,76,0,Middle-aged
150,70,6037,6,8,9,72,1,Senior
178,68,49516,4,3,5,19,1,Senior
171,45,48499,0,0,6,3,0,Middle-aged
194,58,10388,4,5,1,93,1,Middle-aged
175,73,19055,10,2,6,82,1,Senior
140,29,15893,2,1,9,96,1,Young
173,46,39635,5,2,2,28,1,Middle-aged
184,39,27388,2,5,9,57,1,Middle-aged
184,72,10039,0,1,0,97,0,Senior
171,72,20092,4,2,6,6,0,Senior
173,56,35361,6,2,8,31,1,Middle-aged
146,80,8195,7,7,8,63,1,Senior
166,61,48304,2,3,4,7,0,Senior
161,24,30269,9,8,10,61,1,Young
150,29,9100,3,5,0,16,0,Young
161,79,12967,3,3,7,44,1,Senior
181,49,49599,8,2,0,32,0,Middle-aged
164,78,43982,0,9,10,46,1,Senior
180,70,39819,6,5,3,15,1,Senior
197,23,18934,8,9,4,81,1,Young
151,76,27867,9,6,4,44,1,Senior
191,43,5483,5,5,3,54,1,Middle-aged
169,84,23466,6,9,0,36,1,Senior
166,38,36552,5,8,7,15,1,Middle-aged
186,80,23822,7,4,0,41,1,Senior
185,76,14102,6,9,8,22,1,Senior
183,74,45429,3,2,5,8,0,Senior
169,67,9208,3,8,10,15,1,Senior
178,75,49019,1,1,10,18,0,Senior
175,82,38741,7,2,6,43,1,Senior
155,21,47727,0,3,3,5,1,Young
189,29,26482,0,6,1,26,1,Young
143,51,32580,9,5,4,8,1,Middle-aged
183,89,47764,4,7,4,88,1,Senior
195,19,23662,4,6,9,86,0,Young
149,39,18700,6,8,1,21,1,Middle-aged
186,75,41789,9,3,8,53,1,Senior
158,66,49940,10,10,9,75,1,Senior
173,87,29181,2,9,4,53,0,Senior
193,21,25536,6,6,8,7,1,Young
191,53,49276,3,9,4,61,1,Middle-aged
160,85,6095,4,0,3,4,1,Senior
159,89,7101,5,10,4,95,1,Senior
200,64,30985,5,0,10,56,1,Senior
166,89,6186,5,7,1,99,1,Senior
154,30,11036,5,7,0,11,0,Young
200,40,41075,0,6,8,91,1,Middle-aged
143,30,49843,7,1,8,61,1,Young
142,84,5417,2,9,5,29,1,Senior
151,25,19992,0,7,1,14,1,Young
187,22,22665,7,1,4,100,1,Young
176,42,35467,6,3,6,36,1,Middle-aged
196,87,10420,4,9,1,16,1,Senior
197,34,28674,7,10,4,75,1,Young
146,77,7454,10,4,1,95,1,Senior
154,55,27026,0,2,2,82,0,Middle-aged
194,46,44250,5,0,3,82,0,Middle-aged
149,82,32866,9,10,10,17,1,Senior
174,63,20017,1,3,7,22,1,Senior
189,80,10494,8,0,9,53,1,Senior
183,44,24543,3,1,8,30,0,Middle-aged
140,79,18403,10,4,7,98,1,Senior
178,27,12753,10,5,6,59,1,Young
179,37,9870,2,6,8,12,1,Middle-aged
160,89,31872,2,6,0,65,1,Senior
183,59,46598,10,9,1,100,1,Middle-aged
179,33,15134,8,0,7,28,1,Young
149,58,45697,5,9,10,4,1,Middle-aged
149,84,7112,3,5,8,3,1,Senior
169,80,11253,2,5,2,83,1,Senior
185,76,6210,6,10,1,25,1,Senior
149,71,22527,9,5,8,1,1,Senior
154,75,22925,2,8,0,6,1,Senior
177,90,32754,7,7,1,40,1,Senior
145,50,5996,0,8,4,57,1,Middle-aged
156,39,31452,0,5,7,47,1,Middle-aged
173,35,24411,7,5,3,90,1,Young
178,35,6193,4,6,9,72,1,Young
169,42,21840,7,0,0,73,0,Middle-aged
150,74,32207,1,1,10,88,0,Senior
149,85,22781,2,3,2,19,0,Senior
150,19,20360,7,9,3,3,1,Young
150,90,38725,10,1,5,46,1,Senior
195,38,32095,1,10,7,6,1,Middle-aged
171,77,43565,7,6,3,14,1,Senior
162,80,36401,3,7,6,42,0,Senior
157,23,5277,1,6,0,70,0,Young
184,75,22457,8,5,2,39,1,Senior
165,75,33219,0,1,8,69,1,Senior
173,23,14750,4,2,5,87,0,Young
195,38,42873,9,7,8,51,1,Middle-aged
159,25,10533,6,8,0,68,1,Young
174,58,37613,7,5,7,18,1,Middle-aged
192,78,39439,6,10,4,66,1,Senior
195,42,31307,5,5,0,98,1,Middle-aged
143,51,18212,7,8,6,42,1,Middle-aged
199,46,49358,3,3,3,67,1,Middle-aged
141,57,13915,4,6,7,34,1,Middle-aged
166,20,20658,2,10,7,98,1,Young
158,43,10560,7,4,1,56,0,Middle-aged
151,41,21148,0,0,1,58,1,Middle-aged
164,60,39705,6,4,10,24,1,Senior
192,36,42463,2,3,3,13,0,Middle-aged
182,39,34147,0,9,2,51,1,Middle-aged
175,49,13011,4,7,10,26,1,Middle-aged
142,41,15121,6,1,2,65,1,Middle-aged
155,53,41037,6,8,1,73,1,Middle-aged
180,39,44744,7,7,4,39,1,Middle-aged
161,36,20651,10,0,5,97,1,Middle-aged
164,37,25951,5,9,6,78,1,Middle-aged
144,31,25258,6,10,7,69,1,Young
182,19,36131,5,0,7,42,0,Young
183,51,39527,5,9,0,45,1,Middle-aged
192,18,24698,9,0,5,93,1,Young
195,19,19542,6,2,5,12,0,Young
166,25,11134,6,6,0,25,1,Young
190,66,11071,6,7,5,13,1,Senior
190,59,7422,8,7,0,97,1,Middle-aged
164,45,45268,8,6,3,26,1,Middle-aged
179,66,20157,4,10,8,61,1,Senior
158,40,49609,8,1,6,19,1,Middle-aged
174,27,26237,9,1,7,52,1,Young
173,27,27546,10,9,6,94,1,Young
169,25,15582,6,5,0,17,1,Young
181,87,9883,7,10,7,9,1,Senior
145,60,16300,10,2,3,84,1,Senior
146,57,6036,7,1,10,11,1,Middle-aged
186,38,15599,6,2,10,57,1,Middle-aged
171,26,5028,7,5,2,62,1,Young
162,44,38942,1,7,5,64,0,Middle-aged
151,40,45002,6,2,1,100,1,Middle-aged
152,35,32218,4,3,2,26,0,Young
192,82,16898,6,9,10,64,1,Senior
168,34,13534,5,10,5,29,1,Young
161,56,38234,6,0,1,8,1,Middle-aged
182,81,32122,3,3,6,86,1,Senior
151,67,16203,1,2,8,98,0,Senior
181,63,19645,2,4,0,44,1,Senior
143,54,32591,0,8,3,44,1,Middle-aged
173,26,15649,9,3,8,58,1,Young
143,87,35752,0,10,0,22,0,Senior
196,59,42352,2,2,0,37,0,Middle-aged
151,46,40146,3,10,7,91,1,Middle-aged
164,27,18974,0,4,5,86,0,Young
154,85,20669,0,3,7,17,1,Senior
144,65,16162,8,3,7,96,1,Senior
191,63,28915,7,6,10,76,1,Senior
157,61,19864,4,10,10,40,1,Senior
161,75,24167,5,5,0,80,1,Senior
152,85,16223,4,4,6,3,1,Senior
198,36,45747,3,2,2,10,1,Middle-aged
168,89,23124,10,6,10,100,1,Senior
189,52,30665,1,8,7,50,1,Middle-aged
169,62,20247,10,2,1,21,1,Senior
196,54,40893,9,3,6,97,1,Middle-aged
180,34,17922,7,8,10,53,1,Young
150,83,13474,1,8,9,58,0,Senior
192,50,42824,8,8,7,91,1,Middle-aged
148,55,33011,7,0,2,23,1,Middle-aged
142,57,20070,10,1,2,46,1,Middle-aged
198,76,47246,7,10,2,24,1,Senior
145,69,30777,8,8,6,72,1,Senior
181,38,22985,3,7,4,28,1,Middle-aged
170,46,43809,9,9,1,65,1,Middle-aged
145,70,26373,9,10,3,95,1,Senior
176,29,9380,3,4,3,71,0,Young
159,44,13712,3,9,1,74,1,Middle-aged
179,23,42415,6,6,0,19,1,Young
153,56,15886,3,7,9,70,1,Middle-aged
141,90,24850,0,1,10,31,0,Senior
165,74,46324,8,6,7,52,1,Senior
185,66,5128,1,3,10,70,1,Senior
178,76,22241,8,5,9,21,1,Senior
147,52,35156,7,8,6,58,1,Middle-aged
197,44,41786,10,3,2,40,1,Middle-aged
165,56,6124,0,0,0,25,0,Middle-aged
149,75,25337,10,2,1,42,1,Senior
171,69,9701,10,0,3,44,0,Senior
149,58,37382,9,5,9,87,1,Middle-aged
153,58,31188,7,6,0,39,1,Middle-aged
184,68,24466,4,10,5,66,1,Senior
152,67,6052,0,0,3,42,0,Senior
166,24,9002,9,10,8,91,1,Young
167,55,20940,10,7,0,23,1,Middle-aged
163,70,37285,2,8,10,79,1,Senior
183,56,23618,7,7,4,6,1,Middle-aged
145,62,24932,9,8,0,3,1,Senior
185,47,12413,3,8,0,91,1,Middle-aged
174,72,21419,3,2,3,70,0,Senior
163,71,20454,0,2,1,31,0,Senior
151,71,5972,10,9,9,94,1,Senior
189,43,15587,10,8,7,92,1,Middle-aged
142,58,49604,2,2,5,4,1,Middle-aged
182,71,30823,6,7,9,51,1,Senior
181,40,20735,0,9,0,61,1,Middle-aged
164,75,38838,1,9,2,28,1,Senior
157,20,12099,4,5,10,18,1,Young
165,25,44210,5,3,3,8,1,Young
181,29,20088,7,10,9,32,1,Young
163,38,43202,2,10,4,94,1,Middle-aged
179,53,47584,4,8,6,61,1,Middle-aged
184,32,15451,4,0,9,10,0,Young
194,53,40350,3,9,9,68,1,Middle-aged
175,31,37453,4,4,8,74,1,Young
147,34,18760,5,9,4,28,1,Young
190,67,40999,8,3,5,33,1,Senior
177,69,23969,7,3,2,25,1,Senior
187,56,42516,7,0,4,33,0,Middle-aged
183,52,28512,3,10,6,45,1,Middle-aged
196,69,30488,3,7,6,85,1,Senior
147,54,20860,4,8,2,56,1,Middle-aged
147,57,8807,1,5,5,13,0,Middle-aged
179,49,49323,9,8,8,3,1,Middle-aged
170,62,12276,3,8,1,51,1,Senior
152,61,8360,7,7,9,66,1,Senior
147,33,13961,10,3,8,81,1,Young
151,30,14032,10,3,4,28,1,Young
159,80,33800,0,7,2,11,1,Senior
171,37,23756,10,0,8,23,0,Middle-aged
179,38,24767,4,0,8,83,0,Middle-aged
187,33,12039,1,9,6,13,1,Young
142,33,27792,2,1,5,87,1,Young
